Table S5. Coefficients for analytical approximation to the scattering factors 
  in the 0 <= sin(theta)/lambda (STL) <= 2 reciprocal angstroms range using expansion (1) with m=5.
  DATE = 2022-07-29     TIME = 20:35:31
  
Atom     Method            a1            b1            a2            b2            a3            b3            a4            b4            a5            b5             c      Max.Err.  STL Mean.Err.
 
Ge(1+)      DHF        13.215548      2.469354      7.412687  1.636342E-01      1.474870     53.819948      5.499706      5.531195      2.803103     23.391622  5.931173E-01     0.0011  0.08  0.0004
Ge(2+)      DHF         5.792331      5.232016      2.261799     17.675152      7.500806  1.594552E-01      1.219342     35.636824     12.745514      2.430824  4.799421E-01     0.0003  0.09  0.0001
Ge(3+)      DHF         6.204677      5.139411      1.615807     14.430236     12.454411      2.420617  7.345288E-01     29.278933      7.498930  1.602837E-01  4.915438E-01     0.0003  2.00  0.0001
Ge(4+)      DHF         7.479845  1.622411E-01     12.104714      2.412125  1.411523E-02     25.580616      6.596496      5.025745      1.275698     10.404285  5.291464E-01     0.0003  2.00  0.0000
As(2+)      DHF        13.348764      2.223713      3.028870     18.787651      5.304351      4.640547      1.410063     37.786993      7.513802  1.440314E-01  3.937499E-01     0.0004  0.09  0.0002
As(3+)      DHF         2.398160     14.976034      5.572725      4.523491      7.572734  1.419865E-01      1.108330     27.683454     13.024185      2.202598  3.237391E-01     0.0001  0.10  0.0001
As(5+)      DHF        12.354878      2.190694      7.520234  1.461420E-01      1.104848      8.781307      6.595359      4.423433  6.571074E-03     22.738834  4.181184E-01     0.0002  2.00  0.0000
Se(2+)      DHF         7.590466  1.280220E-01     13.672161      2.023778      4.897699      3.959362      1.657070     35.478951      3.954173     18.019702  2.280359E-01     0.0004  0.09  0.0002
Se(4+)      DHF        13.316106      2.004513  9.995584E-01     22.484799      5.318715      3.950794      7.659120  1.265053E-01      2.551102     12.860788  1.553312E-01     0.0001  0.11  0.0000
Se(6+)      DHF         6.552269      3.924561      7.567405  1.318546E-01  3.623250E-03     19.955995  9.690923E-01      7.526138     12.605313      1.997180  3.023019E-01     0.0001  2.00  0.0000
Br(1+)      DHF         2.255030     39.126715      4.340987      3.342974      5.588383     18.391132     14.068717      1.857714      7.560533  1.168401E-01  1.854731E-01     0.0010  0.09  0.0003
Br(3+)      DHF         4.975826      3.279858      1.524649     27.587617     13.488314      1.823838      4.303855     14.989901      7.835290  1.098884E-01 -1.281231E-01     0.0002  0.11  0.0001
Br(4+)      DHF         7.788225  1.115199E-01      4.913542      3.391405      1.189318     23.363472      3.541158     13.228878     13.634161      1.830610 -6.650029E-02     0.0001  0.11  0.0000
Br(5+)      DHF         7.761281  1.127649E-01     13.609052      1.831209      5.047227      3.477969  9.060667E-01     18.786881      2.702731     11.145567 -2.639434E-02     0.0000  0.12  0.0000
Br(7+)      DHF         6.480929      3.507863     12.854358      1.827331      7.620899  1.191804E-01  8.589190E-01      6.537560  2.299564E-03     17.302568  1.825975E-01     0.0000  2.00  0.0000
Br(1-)      DHF        16.906060      2.062327      1.730596      6.524895      2.379271     71.907135      6.835528     24.413497      6.181429  1.833104E-01      1.961968     0.0056  0.07  0.0019
Kr(2+)      DHF         9.677154      1.523834      8.664553      2.342382      2.116699     29.653685      6.047403     15.209500      8.931874  8.001830E-02     -1.438075     0.0004  0.10  0.0001
Rb(1+)      DHF        17.495145      1.722637      5.377007  1.914307E-01      7.742175     14.921657      2.680457     31.545097 -3.795291E-05     -1.591455      2.704410     0.0009  0.10  0.0003
Sr(2+)      DHF        17.896678      1.554595      2.667768     24.461835      8.257367     12.431417      6.189821  1.283621E-01 -5.967138E-01      4.566925      1.584628     0.0006  2.00  0.0002
Y(2+)       DHF        18.204273      1.358301      1.922801     32.339439    -22.957104 -1.813737E-02  7.846657E-02    101.099217      9.707313     12.279151     30.044552     0.0033  2.00  0.0012
Y(3+)       DHF         8.724078     10.600036     -1.331932      3.674847      6.164892  1.164436E-01      2.622623     19.810232     18.305636      1.430900      1.514430     0.0003  2.00  0.0001
Zr(1+)      DHF        18.536859      1.212886      2.233781     35.607852     -1.385333 -1.561368E-01      1.331933     91.477806     10.283221     11.088974      7.999146     0.0045  2.00  0.0014
Zr(2+)      DHF         2.447123     31.131911     18.565412      1.215145     -1.388804 -1.563240E-01  1.005764E-01     91.598518     10.267385     11.296323      8.008669     0.0047  2.00  0.0015
Zr(3+)      DHF       185.465981      1.599444   -168.632863      1.637090      5.418806  1.563577E-01      2.008556     25.161313     10.142387     10.476067      2.595544     0.0017  0.11  0.0005
Zr(4+)      DHF         9.181688      9.194952     18.794261      1.326425      2.541142     16.550453     -2.134154      3.114563      6.022893  1.102362E-01      1.593999     0.0002  2.00  0.0001
Nb(2+)      DHF        10.902778     10.474741     18.888859      1.089854 -2.278396E-01 -3.626840E-01  9.797047E-02     87.211223      2.929832     29.042709      6.408805     0.0056  2.00  0.0017
Nb(3+)      DHF        10.788695      9.742869      5.876847  1.186038E-01    300.000000      1.484660      2.497885     24.450606   -283.081870      1.507678      1.916375     0.0022  0.12  0.0008
Nb(4+)      DHF       300.000000      1.545287     10.454513      9.076479   -283.743669      1.571797      2.077195     19.643151      5.108855  1.797443E-01      3.102334     0.0008  0.13  0.0003
Nb(5+)      DHF        19.383262      1.238082      9.619277      8.075713      5.760244  1.094542E-01      2.446593     14.130444     -3.039178      2.691235      1.829693     0.0001  2.00  0.0001
Mo(1+)      DHF         3.953372     28.369833     19.141143  9.856359E-01 -3.214807E-02 -6.592037E-01  5.606686E-01     71.751766     11.492991      9.893637      5.884343     0.0062  2.00  0.0019
Mo(2+)      DHF        11.812068      9.736170      3.318168     28.303842    208.711497  6.560437E-01    113.077576  4.402569E-01   -299.999999  5.608324E-01      3.075796     0.0052  0.11  0.0018
Mo(3+)      DHF         2.953457     23.004428     11.479125      9.094247     32.469777      1.245966    -15.203752      1.544949     15.205232  2.924409E-02     -7.906161     0.0025  0.12  0.0009
Mo(4+)      DHF         2.542567     19.172340      5.516172  1.245197E-01     28.291686      1.271818     11.152771      8.502936    -11.802728      1.702068      2.298439     0.0012  0.13  0.0004
Mo(5+)      DHF       300.000000      1.467938     10.794094      7.955698      2.108531     16.060078   -284.245185      1.496227      4.977327  1.910691E-01      3.364810     0.0004  0.14  0.0002
Mo(6+)      DHF        20.149419      1.165205     10.031814      7.164181      2.346551     12.264208     -4.140096      2.341923      5.395957  1.150109E-01      2.216282     0.0001  2.00  0.0000
Tc(1+)      DHF        19.207157  8.907810E-01      3.611239     27.827979 -1.569081E-03     -1.206226      1.189826     76.031482     12.397616      9.008549      5.595543     0.0063  2.00  0.0021
Tc(2+)      DHF      -297.650330  4.289997E-01    198.149859  3.639883E-01      3.694268     25.952456     12.588829      9.079688    122.518458  5.901130E-01      1.693903     0.0053  0.12  0.0020
Tc(3+)      DHF       300.000000      1.254712      3.374103     21.443663     -9.398390 -3.395058E-02     12.225017      8.499563   -282.641669      1.277367     16.438395     0.0027  0.13  0.0010
Tc(4+)      DHF         6.362030  9.146384E-02      2.961174     18.262923     11.879624      7.997721    300.000000      1.320438   -283.515612      1.346398      1.311514     0.0013  0.13  0.0005
Tc(5+)      DHF       192.988410      1.353838      5.074487  1.579040E-01   -177.178248      1.397891      2.526970     15.745391     11.533240      7.515589      3.054528     0.0006  0.14  0.0003
Tc(6+)      DHF        24.325258      1.161321     11.146343      7.007118      2.173282     13.445224      4.994002  1.430407E-01     -8.544396      1.788697      2.905241     0.0003  0.15  0.0001
Tc(7+)      DHF        21.307981      1.109433     10.417094      6.409593     -5.679406      2.035851      2.243850     10.784322      5.003586  1.284588E-01      2.706846     0.0001  2.00  0.0000
Ru(1+)      DHF        13.355124      8.779987     19.306282  8.181543E-01  3.287903E-01     70.697190 -1.476639E-05     -2.179046      4.556269     25.612019      5.454258     0.0065  1.01  0.0028
Ru(2+)      DHF        22.712891  7.310868E-01     13.436896      8.531851    -21.030744 -1.115016E-01      3.965142     24.051057    300.000000 -1.205300E-02   -277.089007     0.0051  0.12  0.0022
Ru(3+)      DHF       300.000000      1.148387     13.030484      7.967356      3.737370     20.002162 -8.494276E-01 -1.787901E-01   -282.337295      1.170526      7.416178     0.0028  0.13  0.0011
Ru(4+)      DHF       254.233157      1.210996     12.663155      7.523766   -237.461389      1.241198      3.347807     17.243880     89.138486  4.128733E-03    -81.922625     0.0015  0.14  0.0006
Ru(5+)      DHF        12.301749      7.100526      5.844452  1.024720E-01    300.000000      1.257687      2.928213     15.088061   -283.999695      1.285088      1.924541     0.0008  0.14  0.0003
Ru(6+)      DHF      -284.608978      1.315374     11.922595      6.688683      2.504542     13.281433    300.000000      1.286846      4.989905  1.590508E-01      3.191562     0.0004  0.15  0.0002
Ru(7+)      DHF        20.947324  9.853695E-01     11.535503      6.202428     -4.807247      2.001450      2.260237     11.468467     13.784397  2.615245E-02     -6.720401     0.0002  2.00  0.0001
Ru(8+)      DHF         4.712444  1.517740E-01     23.629769      1.077324      2.139763      9.585045     10.774224      5.776566     -8.477971      1.750251      3.221739     0.0001  2.00  0.0000
Rh(1+)      DHF        19.314446  7.535909E-01     14.470717      8.346738 -4.625884E-10     -4.535674  1.916924E-01     79.037209      4.673074     24.890172      5.350962     0.0092  1.04  0.0037
